"統計期","公私立別","性別","高等學校/總計[人]","高等學校/大學校院[人]","高等學校/專科學校[人]","中等學校/總計[人]","中等學校/高級中學[人]","中等學校/職業學校[人]","中等學校/國民中學[人]","國民小學[人]","幼兒園[人]","特殊教育[人]"
"57學年","總計","總計",11110,7061,4049,35541,9369,6949,19223,40082,13735,216
"57學年","總計","男",0,0,0,0,0,0,0,21156,0,0
"57學年","總計","女",0,0,0,0,0,0,0,18926,0,0
"57學年","國立","總計",4507,4507,0,1095,1095,0,0,0,0,0
"57學年","國立","男",0,0,0,0,0,0,0,0,0,0
"57學年","國立","女",0,0,0,0,0,0,0,0,0,0
"57學年","市立","總計",315,0,315,22158,6111,2255,13792,38393,0,216
"57學年","市立","男",0,0,0,0,0,0,0,0,0,0
"57學年","市立","女",0,0,0,0,0,0,0,0,0,0
"57學年","私立","總計",2310,0,2310,12288,2163,4694,5431,1370,0,0
"57學年","私立","男",0,0,0,0,0,0,0,0,0,0
"57學年","私立","女",0,0,0,0,0,0,0,0,0,0
"58學年","總計","總計",14159,8241,5918,42802,9432,7828,25542,42342,12005,158
"58學年","總計","男",0,0,0,0,0,0,0,22187,0,0
"58學年","總計","女",0,0,0,0,0,0,0,20155,0,0
"58學年","國立","總計",5015,5015,0,1162,1162,0,0,0,0,0
"58學年","國立","男",0,0,0,0,0,0,0,0,0,0
"58學年","國立","女",0,0,0,0,0,0,0,0,0,0
"58學年","市立","總計",473,0,473,26921,5523,2661,18737,40523,0,158
"58學年","市立","男",0,0,0,0,0,0,0,0,0,0
"58學年","市立","女",0,0,0,0,0,0,0,0,0,0
"58學年","私立","總計",6784,3226,3558,14719,2747,5167,6805,1514,0,0
"58學年","私立","男",0,0,0,0,0,0,0,0,0,0
"58學年","私立","女",0,0,0,0,0,0,0,0,0,0
"59學年","總計","總計",13880,8168,5712,53632,11293,9024,33315,45677,13352,198
"59學年","總計","男",0,0,0,0,0,0,0,23559,0,0
"59學年","總計","女",0,0,0,0,0,0,0,22118,0,0
"59學年","國立","總計",5026,5026,0,1308,1308,0,0,0,0,0
"59學年","國立","男",0,0,0,0,0,0,0,0,0,0
"59學年","國立","女",0,0,0,0,0,0,0,0,0,0
"59學年","市立","總計",337,0,337,40482,7040,2261,31181,43482,0,198
"59學年","市立","男",0,0,0,0,0,0,0,0,0,0
"59學年","市立","女",0,0,0,0,0,0,0,0,0,0
"59學年","私立","總計",6599,3142,3457,11842,2945,6763,2134,1889,0,0
"59學年","私立","男",0,0,0,0,0,0,0,0,0,0
"59學年","私立","女",0,0,0,0,0,0,0,0,0,0
"60學年","總計","總計",15394,9052,6342,55530,12042,9879,33609,44073,16480,264
"60學年","總計","男",0,0,0,0,0,0,0,22943,0,0
"60學年","總計","女",0,0,0,0,0,0,0,21130,0,0
"60學年","國立","總計",5539,5539,0,1131,1131,0,0,37,0,0
"60學年","國立","男",0,0,0,0,0,0,0,0,0,0
"60學年","國立","女",0,0,0,0,0,0,0,0,0,0
"60學年","市立","總計",528,0,528,40775,7267,1901,31607,41696,0,264
"60學年","市立","男",0,0,0,0,0,0,0,0,0,0
"60學年","市立","女",0,0,0,0,0,0,0,0,0,0
"60學年","私立","總計",7369,3513,3856,13624,3644,7978,2002,2011,0,0
"60學年","私立","男",0,0,0,0,0,0,0,0,0,0
"60學年","私立","女",0,0,0,0,0,0,0,0,0,0
"61學年","總計","總計",17068,9690,7378,61887,13767,11983,36137,45529,14917,251
"61學年","總計","男",0,0,0,0,0,0,0,23647,0,0
"61學年","總計","女",0,0,0,0,0,0,0,21882,0,0
"61學年","國立","總計",5856,5856,0,1183,1183,0,0,34,0,0
"61學年","國立","男",0,0,0,0,0,0,0,0,0,0
"61學年","國立","女",0,0,0,0,0,0,0,0,0,0
"61學年","市立","總計",824,0,824,43805,7800,2008,33997,42926,0,251
"61學年","市立","男",0,0,0,0,0,0,0,0,0,0
"61學年","市立","女",0,0,0,0,0,0,0,0,0,0
"61學年","私立","總計",8455,3834,4621,16899,4784,9975,2140,2253,0,0
"61學年","私立","男",0,0,0,0,0,0,0,0,0,0
"61學年","私立","女",0,0,0,0,0,0,0,0,0,0
"62學年","總計","總計",18935,10130,8805,63894,14287,11649,37958,45671,14192,255
"62學年","總計","男",0,0,0,0,0,0,0,23758,0,0
"62學年","總計","女",0,0,0,0,0,0,0,21913,0,0
"62學年","國立","總計",5949,5949,0,1338,1338,0,0,50,0,0
"62學年","國立","男",0,0,0,0,0,0,0,0,0,0
"62學年","國立","女",0,0,0,0,0,0,0,0,0,0
"62學年","市立","總計",1255,0,1255,47970,9086,2747,36137,43126,0,255
"62學年","市立","男",0,0,0,0,0,0,0,0,0,0
"62學年","市立","女",0,0,0,0,0,0,0,0,0,0
"62學年","私立","總計",9499,4181,5318,14586,3863,8902,1821,2192,0,0
"62學年","私立","男",0,0,0,0,0,0,0,0,0,0
"62學年","私立","女",0,0,0,0,0,0,0,0,0,0
"63學年","總計","總計",20096,10830,9266,64049,13659,12130,38260,47172,16934,290
"63學年","總計","男",0,0,0,0,0,0,0,24377,0,0
"63學年","總計","女",0,0,0,0,0,0,0,22795,0,0
"63學年","國立","總計",6217,6217,0,1266,1266,0,0,40,0,0
"63學年","國立","男",0,0,0,0,0,0,0,0,0,0
"63學年","國立","女",0,0,0,0,0,0,0,0,0,0
"63學年","市立","總計",870,0,870,47784,8503,2893,36388,44513,0,290
"63學年","市立","男",0,0,0,0,0,0,0,0,0,0
"63學年","市立","女",0,0,0,0,0,0,0,0,0,0
"63學年","私立","總計",10647,4613,6034,14999,3890,9237,1872,2331,0,0
"63學年","私立","男",0,0,0,0,0,0,0,0,0,0
"63學年","私立","女",0,0,0,0,0,0,0,0,0,0
"64學年","總計","總計",21129,11587,9542,68694,13220,14821,40653,47764,17120,285
"64學年","總計","男",0,0,0,0,0,0,0,24698,0,0
"64學年","總計","女",0,0,0,0,0,0,0,23066,0,0
"64學年","國立","總計",6482,6482,0,1185,1185,0,0,45,0,0
"64學年","國立","男",0,0,0,0,0,0,0,0,0,0
"64學年","國立","女",0,0,0,0,0,0,0,0,0,0
"64學年","市立","總計",1196,0,1196,50763,8633,3234,38896,45066,0,285
"64學年","市立","男",0,0,0,0,0,0,0,0,0,0
"64學年","市立","女",0,0,0,0,0,0,0,0,0,0
"64學年","私立","總計",11255,5105,6150,16746,3402,11587,1757,2312,0,0
"64學年","私立","男",0,0,0,0,0,0,0,0,0,0
"64學年","私立","女",0,0,0,0,0,0,0,0,0,0
"65學年","總計","總計",22718,12674,10044,69799,12952,15388,41459,47220,17379,258
"65學年","總計","男",0,0,0,0,0,0,0,24792,0,0
"65學年","總計","女",0,0,0,0,0,0,0,22428,0,0
"65學年","國立","總計",6675,6675,0,1068,1068,0,0,49,0,0
"65學年","國立","男",0,0,0,0,0,0,0,0,0,0
"65學年","國立","女",0,0,0,0,0,0,0,0,0,0
"65學年","市立","總計",1176,0,1176,52245,8909,3601,39735,44655,0,258
"65學年","市立","男",0,0,0,0,0,0,0,0,0,0
"65學年","市立","女",0,0,0,0,0,0,0,0,0,0
"65學年","私立","總計",12699,5999,6700,16486,2975,11787,1724,2271,0,0
"65學年","私立","男",0,0,0,0,0,0,0,0,0,0
"65學年","私立","女",0,0,0,0,0,0,0,0,0,0
"66學年","總計","總計",23595,12867,10728,73177,14256,15600,43321,46060,23106,275
"66學年","總計","男",0,0,0,0,0,0,0,23667,0,0
"66學年","總計","女",0,0,0,0,0,0,0,22393,0,0
"66學年","國立","總計",6721,6721,0,1268,1268,0,0,60,0,0
"66學年","國立","男",0,0,0,0,0,0,0,0,0,0
"66學年","國立","女",0,0,0,0,0,0,0,0,0,0
"66學年","市立","總計",1239,0,1239,54396,9369,3442,41585,43689,1261,275
"66學年","市立","男",0,0,0,0,0,0,0,0,0,0
"66學年","市立","女",0,0,0,0,0,0,0,0,0,0
"66學年","私立","總計",13407,6146,7261,17513,3619,12158,1736,2026,21764,0
"66學年","私立","男",0,0,0,0,0,0,0,0,0,0
"66學年","私立","女",0,0,0,0,0,0,0,0,0,0
"67學年","總計","總計",23801,13020,10781,72839,14386,15298,43155,45241,25687,248
"67學年","總計","男",0,0,0,0,0,0,0,23521,0,0
"67學年","總計","女",0,0,0,0,0,0,0,21720,0,0
"67學年","國立","總計",6927,6927,0,1236,1236,0,0,52,0,0
"67學年","國立","男",0,0,0,0,0,0,0,0,0,0
"67學年","國立","女",0,0,0,0,0,0,0,0,0,0
"67學年","市立","總計",1073,0,1073,54113,9318,3497,41298,42898,0,248
"67學年","市立","男",0,0,0,0,0,0,0,0,0,0
"67學年","市立","女",0,0,0,0,0,0,0,0,0,0
"67學年","私立","總計",13353,6093,7260,17490,3832,11801,1857,2003,0,0
"67學年","私立","男",0,0,0,0,0,0,0,0,0,0
"67學年","私立","女",0,0,0,0,0,0,0,0,0,0
"68學年","總計","總計",24457,13473,10984,72020,12394,16506,43120,45109,26989,228
"68學年","總計","男",0,0,0,0,0,0,0,23560,0,0
"68學年","總計","女",0,0,0,0,0,0,0,21549,0,0
"68學年","國立","總計",7296,7296,0,186,186,0,0,70,41,0
"68學年","國立","男",0,0,0,0,0,0,0,0,0,0
"68學年","國立","女",0,0,0,0,0,0,0,0,0,0
"68學年","市立","總計",1448,0,1448,54201,9101,3763,41337,42749,1292,228
"68學年","市立","男",0,0,0,0,0,0,0,0,0,0
"68學年","市立","女",0,0,0,0,0,0,0,0,0,0
"68學年","私立","總計",13637,6177,7460,17633,3107,12743,1783,1999,25492,0
"68學年","私立","男",0,0,0,0,0,0,0,0,0,0
"68學年","私立","女",0,0,0,0,0,0,0,0,0,0
"69學年","總計","總計",24182,13246,10936,73386,13316,17347,42723,47031,27360,253
"69學年","總計","男",0,0,0,0,0,0,0,24271,0,0
"69學年","總計","女",0,0,0,0,0,0,0,22760,0,0
"69學年","國立","總計",9116,7165,1951,1322,1322,0,0,81,35,0
"69學年","國立","男",0,0,0,0,0,0,0,0,0,0
"69學年","國立","女",0,0,0,0,0,0,0,0,0,0
"69學年","市立","總計",1186,0,1186,54092,9092,4145,40855,44500,1268,253
"69學年","市立","男",0,0,0,0,0,0,0,0,0,0
"69學年","市立","女",0,0,0,0,0,0,0,0,0,0
"69學年","私立","總計",13511,6081,7430,17972,2902,13202,1868,2174,25978,0
"69學年","私立","男",0,0,0,0,0,0,0,0,0,0
"69學年","私立","女",0,0,0,0,0,0,0,0,0,0
"70學年","總計","總計",24662,13464,11198,74686,14019,19091,41576,47238,29324,205
"70學年","總計","男",0,0,0,0,0,0,0,24558,0,0
"70學年","總計","女",0,0,0,0,0,0,0,22680,0,0
"70學年","國立","總計",10007,7361,2646,1211,1211,0,0,79,0,0
"70學年","國立","男",0,0,0,0,0,0,0,0,0,0
"70學年","國立","女",0,0,0,0,0,0,0,0,0,0
"70學年","市立","總計",509,0,509,53964,9136,5153,39675,44860,0,205
"70學年","市立","男",0,0,0,0,0,0,0,0,0,0
"70學年","市立","女",0,0,0,0,0,0,0,0,0,0
"70學年","私立","總計",13736,6103,7633,19511,3672,13938,1901,2013,0,0
"70學年","私立","男",0,0,0,0,0,0,0,0,0,0
"70學年","私立","女",0,0,0,0,0,0,0,0,0,0
"71學年","總計","總計",26424,14343,12081,78048,14249,21435,42364,46506,27110,196
"71學年","總計","男",0,0,0,0,0,0,0,24227,0,0
"71學年","總計","女",0,0,0,0,0,0,0,22279,0,0
"71學年","國立","總計",10426,7720,2706,1404,1157,0,247,86,0,0
"71學年","國立","男",0,0,0,0,0,0,0,0,0,0
"71學年","國立","女",0,0,0,0,0,0,0,0,0,0
"71學年","市立","總計",724,0,724,55095,9713,5152,40230,44020,0,196
"71學年","市立","男",0,0,0,0,0,0,0,0,0,0
"71學年","市立","女",0,0,0,0,0,0,0,0,0,0
"71學年","私立","總計",14597,6623,7974,21549,3379,16283,1887,2119,0,0
"71學年","私立","男",0,0,0,0,0,0,0,0,0,0
"71學年","私立","女",0,0,0,0,0,0,0,0,0,0
"72學年","總計","總計",27074,14703,12371,80345,14084,22310,43951,45649,31170,241
"72學年","總計","男",0,0,0,0,0,0,0,23589,0,0
"72學年","總計","女",0,0,0,0,0,0,0,22060,0,0
"72學年","國立","總計",11303,8374,2929,1527,1259,0,268,79,128,0
"72學年","國立","男",0,0,0,0,0,0,0,0,0,0
"72學年","國立","女",0,0,0,0,0,0,0,0,0,0
"72學年","市立","總計",651,0,651,56533,9092,5508,41933,43236,1247,241
"72學年","市立","男",0,0,0,0,0,0,0,0,0,0
"72學年","市立","女",0,0,0,0,0,0,0,0,0,0
"72學年","私立","總計",14474,6329,8145,22285,3733,16802,1750,2047,29734,0
"72學年","私立","男",0,0,0,0,0,0,0,0,0,0
"72學年","私立","女",0,0,0,0,0,0,0,0,0,0
"73學年","總計","總計",27945,15093,12852,82850,14372,23550,44928,45527,30529,190
"73學年","總計","男",0,0,0,0,0,0,0,23637,0,0
"73學年","總計","女",0,0,0,0,0,0,0,21890,0,0
"73學年","國立","總計",11124,8157,2967,1564,1312,0,252,81,167,0
"73學年","國立","男",0,0,0,0,0,0,0,0,0,0
"73學年","國立","女",0,0,0,0,0,0,0,0,0,0
"73學年","市立","總計",780,0,780,58280,9303,6124,42853,43232,1118,190
"73學年","市立","男",0,0,0,0,0,0,0,0,0,0
"73學年","市立","女",0,0,0,0,0,0,0,0,0,0
"73學年","私立","總計",15236,6936,8300,23006,3757,17426,1823,1934,29184,0
"73學年","私立","男",0,0,0,0,0,0,0,0,0,0
"73學年","私立","女",0,0,0,0,0,0,0,0,0,0
"74學年","總計","總計",29386,15791,13595,83204,14705,23912,44587,45801,29920,199
"74學年","總計","男",0,0,0,0,0,0,0,23687,0,0
"74學年","總計","女",0,0,0,0,0,0,0,22114,0,0
"74學年","國立","總計",11491,8560,2931,1555,1309,0,246,72,157,0
"74學年","國立","男",0,0,0,0,0,0,0,0,0,0
"74學年","國立","女",0,0,0,0,0,0,0,0,0,0
"74學年","市立","總計",936,0,936,58094,9646,5921,42527,43557,1468,199
"74學年","市立","男",0,0,0,0,0,0,0,0,0,0
"74學年","市立","女",0,0,0,0,0,0,0,0,0,0
"74學年","私立","總計",15888,7231,8657,23555,3750,17991,1814,1894,28235,0
"74學年","私立","男",0,0,0,0,0,0,0,0,0,0
"74學年","私立","女",0,0,0,0,0,0,0,0,0,0
"75學年","總計","總計",29636,15829,13807,82506,14817,23683,44006,47179,28853,210
"75學年","總計","男",0,0,0,0,0,0,0,24278,0,0
"75學年","總計","女",0,0,0,0,0,0,0,22901,0,0
"75學年","國立","總計",11432,8575,2857,1621,1356,0,265,80,141,0
"75學年","國立","男",0,0,0,0,0,0,0,0,0,0
"75學年","國立","女",0,0,0,0,0,0,0,0,0,0
"75學年","市立","總計",929,0,929,56544,9566,5231,41747,44969,1526,210
"75學年","市立","男",0,0,0,0,0,0,0,0,0,0
"75學年","市立","女",0,0,0,0,0,0,0,0,0,0
"75學年","私立","總計",16177,7254,8923,24341,3895,18452,1994,1843,27126,0
"75學年","私立","男",0,0,0,0,0,0,0,0,0,0
"75學年","私立","女",0,0,0,0,0,0,0,0,0,0
"76學年","總計","總計",29772,16413,13359,85108,15572,25644,43892,50970,32394,188
"76學年","總計","男",0,0,0,0,0,0,0,26379,0,0
"76學年","總計","女",0,0,0,0,0,0,0,24591,0,0
"76學年","國立","總計",12014,9017,2997,1620,1344,0,276,77,117,0
"76學年","國立","男",0,0,0,0,0,0,0,0,0,0
"76學年","國立","女",0,0,0,0,0,0,0,0,0,0
"76學年","市立","總計",949,0,949,57643,9934,6062,41647,48661,7382,188
"76學年","市立","男",0,0,0,0,0,0,0,0,0,0
"76學年","市立","女",0,0,0,0,0,0,0,0,0,0
"76學年","私立","總計",15998,7396,8602,25845,4294,19582,1969,1940,24837,0
"76學年","私立","男",0,0,0,0,0,0,0,0,0,0
"76學年","私立","女",0,0,0,0,0,0,0,0,0,0
"77學年","總計","總計",30035,16862,13173,86790,16276,27008,43506,48172,31166,176
"77學年","總計","男",0,0,0,0,0,0,0,24787,0,0
"77學年","總計","女",0,0,0,0,0,0,0,23385,0,0
"77學年","國立","總計",12286,9371,2915,1611,1381,0,230,77,146,0
"77學年","國立","男",0,0,0,0,0,0,0,0,0,0
"77學年","國立","女",0,0,0,0,0,0,0,0,0,0
"77學年","市立","總計",656,0,656,58602,10151,6853,41598,45873,7477,176
"77學年","市立","男",0,0,0,0,0,0,0,0,0,0
"77學年","市立","女",0,0,0,0,0,0,0,0,0,0
"77學年","私立","總計",16629,7491,9138,26577,4744,20155,1678,1945,23483,0
"77學年","私立","男",0,0,0,0,0,0,0,0,0,0
"77學年","私立","女",0,0,0,0,0,0,0,0,0,0
"78學年","總計","總計",32204,18020,14184,85327,15984,25755,43588,47006,29185,187
"78學年","總計","男",0,0,0,0,0,0,0,24479,0,0
"78學年","總計","女",0,0,0,0,0,0,0,22527,0,0
"78學年","國立","總計",13510,10258,3252,1401,1128,0,273,80,136,0
"78學年","國立","男",0,0,0,0,0,0,0,0,0,0
"78學年","國立","女",0,0,0,0,0,0,0,0,0,0
